Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 65536, 1, 1, 256, 0.452932, 0.723238, N/A, 0.0463452, 0.0539504, 2.32945, 0.158874, 2, 2, 4, 8, 1, 1, 77.0884, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 65536, 1, 1, 256, 0.452932, 0.723238, N/A, 0.0463452, 0.0539504, 2.32945, 0.158874, 2, 2, 4, 8, 1, 1, 77.0884, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 196608, 1, 1, 256, 0.719695, 0.787693, N/A, 0.0718171, 0.0834102, 7.07677, 0.537166, 2, 4, 4, 8, 1, 1, 68.4, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 768, 1, 1, 64, 0.174002, 0.140481, N/A, 0.00120739, 0.0020764, 0.0319019, 0.00227081, 2, 2, 1, 2, 1, 1, 63.2038, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 768, 1, 1, 64, 0.174002, 0.140481, N/A, 0.00120739, 0.0020764, 0.0319019, 0.00227081, 2, 2, 1, 2, 1, 1, 63.2038, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 768, 1, 1, 64, 0.174002, 0.140481, N/A, 0.00120739, 0.0020764, 0.0319019, 0.00227081, 2, 2, 1, 2, 1, 1, 63.2038, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 3072, 1, 1, 64, 0.208684, 0.172717, N/A, 0.00252659, 0.00394562, 0.137338, 0.00835602, 2, 2, 2, 4, 1, 1, 68.7044, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 3072, 1, 1, 64, 0.208684, 0.172717, N/A, 0.00252659, 0.00394562, 0.137338, 0.00835602, 2, 2, 2, 4, 1, 1, 68.7044, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 64, 0.180706, 0.145566, N/A, 0.000942264, 0.00219676, 0.0223434, 0.0016209, 2, 1, 1, 1, 1, 1, 59.0305, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 512, 1, 1, 64, 0.180706, 0.145566, N/A, 0.000942264, 0.00219676, 0.0223434, 0.0016209, 2, 1, 1, 1, 1, 1, 59.0305, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 768, 1, 1, 64, 0.174002, 0.140481, N/A, 0.00120739, 0.0020764, 0.0319019, 0.00227081, 2, 2, 1, 2, 1, 1, 63.2038, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 768, 1, 1, 64, 0.174002, 0.140481, N/A, 0.00120739, 0.0020764, 0.0319019, 0.00227081, 2, 2, 1, 2, 1, 1, 63.2038, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 256, 1, 1, 8, 0.164621, 0.126485, N/A, 0.000275877, 0.000391094, 0.0117751, 0.000861367, 1, 2, 0.5, 4, 1, 1, 55.5411, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 768, 1, 1, 64, 0.174002, 0.140481, N/A, 0.00120739, 0.0020764, 0.0319019, 0.00227081, 2, 2, 1, 2, 1, 1, 63.2038, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 3072, 1, 1, 64, 0.208684, 0.172717, N/A, 0.00252659, 0.00394562, 0.137338, 0.00835602, 2, 2, 2, 4, 1, 1, 68.7044, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 3072, 1, 1, 64, 0.208684, 0.172717, N/A, 0.00252659, 0.00394562, 0.137338, 0.00835602, 2, 2, 2, 4, 1, 1, 68.7044, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
